,train_times,R2s,avg_losses
0,0.6530383479999955,0.7887381787099615,2.6277345328619988
1,0.6576387530000147,0.7853203442976512,2.7169665892918906
2,0.6761260460000358,0.7822811509975054,2.806732377319625
3,0.6974702599999318,0.7795402300969493,2.8974921143416204
4,0.6861078409999664,0.7770661963013596,2.9881812875921074
5,0.6605283349999809,0.7743363998936952,3.082161085172133
6,0.6551796390000391,0.7718626429438016,3.1749695936838784
7,0.6567008040000246,0.7691688980927684,3.269619730385867
8,0.6760080540000217,0.7665955988023311,3.363432145479954
9,0.6594499960000348,0.7638824061125818,3.4579873193394053
10,0.6776389780000045,0.7612018789630413,3.5517223676045737
11,0.7006076850000227,,
12,0.6772627930000681,,
13,0.6737450540000509,,
14,0.6759307560000707,,
15,0.66811958400001,,
16,0.648913764000099,,
17,0.650261955000019,,
18,0.648735939000062,,
19,0.6457817030000115,,
20,0.6401948010000069,,
21,0.6664980589999914,,
